episode,policy,episode_return,attack_success_rate,false_positive_rate,oversight_precision
1,heuristic_guarded,72.4,0.0,0.0,0.0
2,heuristic_guarded,68.9,0.0,0.0,0.0
3,heuristic_guarded,69.9,0.0,0.0,0.0
4,heuristic_guarded,71.3,0.0,0.0,0.0
5,heuristic_guarded,77.2,0.0,0.0,0.0
6,heuristic_guarded,73.5,0.0,0.0,0.0
7,heuristic_guarded,70.0,0.0,0.0,0.0
8,heuristic_guarded,91.6,0.0,0.0,0.0
9,heuristic_guarded,94.4,0.0,0.0,0.0
10,heuristic_guarded,70.3,0.0,0.0,0.0
11,heuristic_guarded,75.8,0.0,0.0,0.0
12,heuristic_guarded,73.0,0.0,0.0,0.0
13,heuristic_guarded,94.1,0.0,0.0,0.0
14,heuristic_guarded,92.0,0.0,0.0,0.0
15,heuristic_guarded,94.0,0.0,0.0,0.0
16,heuristic_guarded,94.1,0.0,0.0,0.0
17,heuristic_guarded,72.2,0.0,0.0,0.0
18,heuristic_guarded,76.1,0.0,0.0,0.0
19,heuristic_guarded,70.8,0.0,0.0,0.0
20,heuristic_guarded,76.7,0.0,0.0,0.0
21,heuristic_guarded,75.1,0.0,0.0,0.0
22,heuristic_guarded,92.6,0.0,0.0,0.0
23,heuristic_guarded,77.7,0.0,0.0,0.0
24,heuristic_guarded,69.9,0.0,0.0,0.0
25,heuristic_guarded,93.5,0.0,0.0,0.0
26,heuristic_guarded,94.1,0.0,0.0,0.0
27,heuristic_guarded,75.0,0.0,0.0,0.0
28,heuristic_guarded,76.7,0.0,0.0,0.0
29,heuristic_guarded,94.3,0.0,0.0,0.0
30,heuristic_guarded,76.3,0.0,0.0,0.0
1,heuristic,93.8,0.0,0.0,0.0
2,heuristic,73.3,0.0,0.0,0.0
3,heuristic,70.3,0.0,0.0,0.0
4,heuristic,77.3,0.0,0.0,0.0
5,heuristic,93.6,0.0,0.0,0.0
6,heuristic,74.4,0.0,0.0,0.0
7,heuristic,95.3,0.0,0.0,0.0
8,heuristic,75.9,0.0,0.0,0.0
9,heuristic,73.2,0.0,0.0,0.0
10,heuristic,72.4,0.0,0.0,0.0
11,heuristic,67.6,0.0,0.0,0.0
12,heuristic,93.7,0.0,0.0,0.0
